#
# maxiter = 4000, nq = 40
# xmax = 8.000, nvx = [300, 400, 500]
#
# F =  0.76318551, E =  0.71219951
#
#        q                mu(q)
#
  0.0000000000          0.0264240936
  0.0250000000          0.0275277407
  0.0500000000          0.0296254066
  0.0750000000          0.0314986287
  0.1000000000          0.0325818323
  0.1250000000          0.0328414180
  0.1500000000          0.0325426491
  0.1750000000          0.0320083217
  0.2000000000          0.0314823460
  0.2250000000          0.0310983137
  0.2500000000          0.0309019943
  0.2750000000          0.0308867174
  0.3000000000          0.0310232776
  0.3250000000          0.0312799242
  0.3500000000          0.0316333605
  0.3750000000          0.0320731238
  0.4000000000          0.0326019416
  0.4250000000          0.0332344460
  0.4500000000          0.0339960526
  0.4750000000          0.0349229600
  0.5000000000          0.0360632790
  0.5250000000          0.0374784049
  0.5500000000          0.0392430114
  0.5750000000          0.0414414812
  0.6000000000          0.0441584269
  0.6250000000          0.0474619756
  0.6500000000          0.0513827998
  0.6750000000          0.0559028773
  0.7000000000          0.0609874794
  0.7250000000          0.0667143725
  0.7500000000          0.0735541469
  0.7750000000          0.0828204892
  0.8000000000          0.0972588889
  0.8250000000          0.1215669153
  0.8500000000          0.1614041831
  0.8750000000          0.2156652462
  0.9000000000          0.2632688012
  0.9250000000          0.3056131298
  0.9500000000          0.6276811661
  0.9750000000          3.3514376399
