#        q              gamma(q)       

0.0000000000     0.0046855208 
0.0100000000     0.0203800197 
0.0200000000     0.0338947597 
0.0300000000     0.0470726215 
0.0400000000     0.0603047045 
0.0500000000     0.0735869724 
0.0600000000     0.0868583979 
0.0700000000     0.1000798955 
0.0800000000     0.1132369236 
0.0900000000     0.1263279620 
0.1000000000     0.1393558532 
0.1100000000     0.1523237374 
0.1200000000     0.1652339781 
0.1300000000     0.1780883581 
0.1400000000     0.1908885634 
0.1500000000     0.2036365561 
0.1600000000     0.2163347529 
0.1700000000     0.2289860585 
0.1800000000     0.2415938218 
0.1900000000     0.2541617630 
0.2000000000     0.2666939118 
0.2100000000     0.2791945583 
0.2200000000     0.2916682232 
0.2300000000     0.3041196404 
0.2400000000     0.3165537476 
0.2500000000     0.3289756830 
0.2600000000     0.3413907822 
0.2700000000     0.3538045789 
0.2800000000     0.3662228057 
0.2900000000     0.3786513961 
0.3000000000     0.3910964877 
0.3100000000     0.4035644285 
0.3200000000     0.4160617837 
0.3300000000     0.4285953456 
0.3400000000     0.4411721448 
0.3500000000     0.4537994640 
0.3600000000     0.4664848541 
0.3700000000     0.4792361516 
0.3800000000     0.4920614994 
0.3900000000     0.5049693694 
0.4000000000     0.5179685876 
0.4100000000     0.5310683624 
0.4200000000     0.5442783151 
0.4300000000     0.5576085153 
0.4400000000     0.5710695176 
0.4500000000     0.5846724050 
0.4600000000     0.5984288341 
0.4700000000     0.6123510880 
0.4800000000     0.6264521318 
0.4900000000     0.6407456778 
0.5000000000     0.6552462539 
0.5100000000     0.6699692838 
0.5200000000     0.6849311734 
0.5300000000     0.7001494083 
0.5400000000     0.7156426639 
0.5500000000     0.7314309278 
0.5600000000     0.7475356376 
0.5700000000     0.7639798372 
0.5800000000     0.7807883524 
0.5900000000     0.7979879913 
0.6000000000     0.8156077712 
0.6100000000     0.8336791787 
0.6200000000     0.8522364664 
0.6300000000     0.8713169944 
0.6400000000     0.8909616249 
0.6500000000     0.9112151773 
0.6600000000     0.9321269589 
0.6700000000     0.9537513824 
0.6800000000     0.9761486907 
0.6900000000     0.9993858105 
0.7000000000     1.0235373609 
0.7100000000     1.0486868565 
0.7200000000     1.0749281481 
0.7300000000     1.1023671614 
0.7400000000     1.1311240127 
0.7500000000     1.1613356006 
0.7600000000     1.1931588061 
0.7700000000     1.2267744652 
0.7800000000     1.2623923293 
0.7900000000     1.3002572887 
0.8000000000     1.3406572299 
0.8100000000     1.3839330637 
0.8200000000     1.4304917661 
0.8300000000     1.4808238286 
0.8400000000     1.5355274864 
0.8500000000     1.5953435393 
0.8600000000     1.6612063658 
0.8700000000     1.7343179421 
0.8800000000     1.8162505502 
0.8900000000     1.9090789377 
0.9000000000     2.0155406513 
0.9100000000     2.1392633573 
0.9200000000     2.2853058391 
0.9300000000     2.4618882570 
0.9400000000     2.6852597382 
0.9500000000     2.9883889885 
0.9600000000     3.4155201849 
0.9700000000     3.9312205617 
0.9800000000     5.0117767718 
0.9900000000     9.7474489379 
