#      q          gamma(q)       

0.0000000000     0.0122480296 
0.0200000000     0.0409991611 
0.0400000000     0.0668424333 
0.0600000000     0.0934976677 
0.0800000000     0.1198609188 
0.1000000000     0.1459127029 
0.1200000000     0.1717361099 
0.1400000000     0.1973474303 
0.1600000000     0.2227547583 
0.1800000000     0.2479795735 
0.2000000000     0.2730524967 
0.2200000000     0.2980083923 
0.2400000000     0.3228850887 
0.2600000000     0.3477235138 
0.2800000000     0.3725678488 
0.3000000000     0.3974655457 
0.3200000000     0.4224673928 
0.3400000000     0.4476277278 
0.3600000000     0.4730048120 
0.3800000000     0.4986613436 
0.4000000000     0.5246651135 
0.4200000000     0.5510898171 
0.4400000000     0.5780160520 
0.4600000000     0.6055325393 
0.4800000000     0.6337376218 
0.5000000000     0.6627411007 
0.5200000000     0.6926665049 
0.5400000000     0.7236539077 
0.5600000000     0.7558634547 
0.5800000000     0.7894798201 
0.6000000000     0.8247178948 
0.6200000000     0.8618301289 
0.6400000000     0.9011161406 
0.6600000000     0.9429354868 
0.6800000000     0.9877249130 
0.7000000000     1.0360219872 
0.7200000000     1.0884978805 
0.7400000000     1.1460036965 
0.7600000000     1.2096388547 
0.7800000000     1.2808590633 
0.8000000000     1.3616513470 
0.8200000000     1.4547885879 
0.8400000000     1.5641482371 
0.8600000000     1.6955256028 
0.8800000000     1.8601183714 
0.9000000000     2.0753379093 
0.9200000000     2.3428433362 
0.9400000000     2.9085104063 
0.9600000000     3.2784859753 
0.9800000000     7.1821287166 
